bar_idx,bar_date,event_type,zone_id,zone_start,zone_end,zone_high,zone_low,zone_bars,zone_score,methods,weighted_votes,vote_count,atr_ratio,range_pct,compression,overlap,vol_contract,rel_vol,trend,breakout_dir,breakout_mag,close_price,consecutive_detections
57,2022-06-02,DEVELOPING,1,53,57,24.52,23.43,5,0.373,body_overlap|dbscan|fractal_box|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,24.25,1
58,2022-06-03,CONFIRMED,1,53,58,24.52,23.43,6,0.394,body_overlap|dbscan|fractal_box|preceding_trend|volume_flat,3.2,5,1.31,4.5,0.77,0.44,0.66,0.81,1.1,,0.0,23.87,2
62,2022-06-09,BREAKOUT,1,53,58,24.52,23.43,6,0.394,body_overlap|dbscan|fractal_box|preceding_trend|volume_flat,3.2,5,1.31,4.5,0.77,0.44,0.66,0.81,1.1,down,1.3,22.46,2
70,2022-06-22,DEVELOPING,2,67,70,20.31,19.42,4,0.424,body_overlap|fractal_box|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,19.94,1
71,2022-06-23,CONFIRMED,2,67,71,20.41,19.49,5,0.412,body_overlap|fractal_box|preceding_trend|range_bars|volume_flat,2.9,5,1.20,4.6,0.89,0.40,1.60,0.90,6.2,,0.0,20.36,2
72,2022-06-24,BREAKOUT,2,67,71,20.41,19.49,5,0.412,body_overlap|fractal_box|preceding_trend|range_bars|volume_flat,2.9,5,1.20,4.6,0.89,0.40,1.60,0.90,6.2,up,0.6,20.86,2
81,2022-07-08,DEVELOPING,3,76,81,20.77,19.93,6,0.452,body_overlap|fractal_box|ha_doji|linreg_flat|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,20.31,1
83,2022-07-12,CONFIRMED,3,76,82,20.77,19.93,7,0.497,body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,6.0,9,1.30,4.1,0.77,0.35,0.67,0.75,4.3,,0.0,20.58,2
85,2022-07-14,BREAKOUT,3,76,82,20.77,19.93,7,0.497,body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,6.0,9,1.30,4.1,0.77,0.35,0.67,0.75,4.3,down,0.1,19.88,2
94,2022-07-27,DEVELOPING,4,90,94,22.38,21.42,5,0.317,atr_squeeze|dbscan|fractal_box|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,22.29,1
96,2022-07-29,EXPIRED,4,0,0,0.00,0.00,1,0.000,,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,23.18,1
131,2022-09-19,DEVELOPING,5,128,131,21.50,20.73,4,0.368,body_overlap|fractal_box|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,21.27,1
132,2022-09-20,CONFIRMED,5,128,131,21.50,20.58,4,0.383,body_overlap|fractal_box|preceding_trend|volume_flat,2.5,4,1.67,4.4,0.76,0.60,1.42,0.65,2.5,,0.0,20.58,2
132,2022-09-20,BREAKOUT,5,128,131,21.50,20.58,4,0.383,body_overlap|fractal_box|preceding_trend|volume_flat,2.5,4,1.67,4.4,0.76,0.60,1.42,0.65,2.5,down,0.0,20.58,2
147,2022-10-11,DEVELOPING,6,141,147,19.36,18.25,7,0.372,fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,18.89,1
148,2022-10-12,CONFIRMED,6,143,148,19.22,18.30,6,0.376,fractal_box|kde_cluster|mtf_2x|preceding_trend|range_bars|volume_flat,3.5,6,1.36,4.9,0.90,0.31,0.96,0.85,3.6,,0.0,18.75,2
152,2022-10-18,BREAKOUT,6,143,148,19.22,18.30,6,0.376,fractal_box|kde_cluster|mtf_2x|preceding_trend|range_bars|volume_flat,3.5,6,1.36,4.9,0.90,0.31,0.96,0.85,3.6,up,0.4,19.51,2
154,2022-10-20,DEVELOPING,7,151,154,19.79,18.91,4,0.287,bbw_squeeze|fractal_box|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,19.11,1
155,2022-10-21,CONFIRMED,7,151,155,19.79,18.91,5,0.277,bbw_squeeze|fractal_box|preceding_trend|volume_flat,2.3,4,1.36,4.5,0.87,0.12,0.98,0.93,1.6,,0.0,19.54,2
156,2022-10-24,BREAKOUT,7,151,155,19.79,18.91,5,0.277,bbw_squeeze|fractal_box|preceding_trend|volume_flat,2.3,4,1.36,4.5,0.87,0.12,0.98,0.93,1.6,up,0.1,19.83,2
163,2022-11-02,DEVELOPING,8,159,162,21.58,20.46,4,0.412,bar_compression|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,21.05,1
164,2022-11-03,CONFIRMED,8,158,162,21.58,20.44,5,0.366,bar_compression|preceding_trend|volume_flat,2.2,3,1.87,5.5,0.55,0.20,1.06,0.56,3.1,,0.0,20.97,2
165,2022-11-04,BREAKOUT,8,158,162,21.58,20.44,5,0.366,bar_compression|preceding_trend|volume_flat,2.2,3,1.87,5.5,0.55,0.20,1.06,0.56,3.1,up,0.4,21.82,2
173,2022-11-16,DEVELOPING,9,169,173,22.86,21.93,5,0.348,dbscan|fractal_box|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,22.14,1
174,2022-11-17,CONFIRMED,9,169,174,22.86,21.78,6,0.348,dbscan|fractal_box|preceding_trend|range_bars|volume_flat,2.7,5,1.55,4.8,0.92,0.16,0.92,1.02,5.8,,0.0,22.30,2
177,2022-11-22,BREAKOUT,9,169,174,22.86,21.78,6,0.348,dbscan|fractal_box|preceding_trend|range_bars|volume_flat,2.7,5,1.55,4.8,0.92,0.16,0.92,1.02,5.8,up,0.5,23.18,2
183,2022-12-01,DEVELOPING,10,175,181,23.34,22.46,7,0.484,body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,22.97,1
